Log of Bounding Box Areas for Each Frame
--------------------------------------------------
Frame 71, Class: erc_90, Conf: 0.98, Box: (175.5253143310547, 38.920684814453125), (394.83404541015625, 337.3177185058594), Area: 65441.07 pixels^2
Frame 71, Class: erc_90, Conf: 0.46, Box: (0.6876220703125, 414.07666015625), (85.05314636230469, 479.57745361328125), Area: 5526.01 pixels^2
Frame 72, Class: erc_90, Conf: 0.98, Box: (177.48231506347656, 40.59478759765625), (393.2156982421875, 337.9388427734375), Area: 64147.04 pixels^2
Frame 72, Class: erc_90, Conf: 0.28, Box: (0.700164794921875, 413.66375732421875), (85.04562377929688, 479.57049560546875), Area: 5558.93 pixels^2
Frame 73, Class: erc_90, Conf: 0.98, Box: (175.85140991210938, 39.875213623046875), (394.0877380371094, 338.66583251953125), Area: 65206.97 pixels^2
Frame 73, Class: erc_90, Conf: 0.33, Box: (0.613861083984375, 413.8903503417969), (85.31887817382812, 479.5436706542969), Area: 5561.17 pixels^2
Frame 74, Class: erc_90, Conf: 0.98, Box: (176.07017517089844, 42.150054931640625), (394.2093505859375, 338.8089904785156), Area: 64712.94 pixels^2
Frame 74, Class: erc_90, Conf: 0.59, Box: (0.564056396484375, 414.025390625), (85.31369018554688, 479.54638671875), Area: 5552.88 pixels^2
Frame 75, Class: erc_90, Conf: 0.98, Box: (176.7491455078125, 41.982086181640625), (394.9814453125, 339.4821472167969), Area: 64924.12 pixels^2
Frame 75, Class: erc_90, Conf: 0.36, Box: (0.74420166015625, 414.1502990722656), (84.66030883789062, 479.5375061035156), Area: 5487.04 pixels^2
Frame 76, Class: erc_90, Conf: 0.98, Box: (177.28387451171875, 42.6822509765625), (394.2274169921875, 340.21954345703125), Area: 64548.79 pixels^2
Frame 76, Class: erc_90, Conf: 0.63, Box: (0.7620620727539062, 414.7286376953125), (84.84078979492188, 479.55767822265625), Area: 5450.74 pixels^2
Frame 77, Class: erc_90, Conf: 0.99, Box: (179.36923217773438, 43.951416015625), (395.7865295410156, 340.37744140625), Area: 64151.72 pixels^2
Frame 78, Class: erc_90, Conf: 0.98, Box: (176.93984985351562, 46.05596923828125), (395.1327819824219, 342.22564697265625), Area: 64622.13 pixels^2
Frame 78, Class: erc_90, Conf: 0.68, Box: (0.66668701171875, 416.076904296875), (84.88115692138672, 479.569580078125), Area: 5347.00 pixels^2
Frame 79, Class: erc_90, Conf: 0.98, Box: (175.59449768066406, 46.3370361328125), (394.8135986328125, 344.53399658203125), Area: 65370.47 pixels^2
Frame 80, Class: erc_90, Conf: 0.98, Box: (181.09832763671875, 48.499664306640625), (394.3917236328125, 348.5915832519531), Area: 64007.62 pixels^2
Frame 80, Class: erc_90, Conf: 0.49, Box: (0.7571487426757812, 417.760986328125), (83.96452331542969, 479.585693359375), Area: 5144.27 pixels^2
Frame 81, Class: erc_90, Conf: 0.97, Box: (179.13836669921875, 51.598876953125), (395.12786865234375, 349.59100341796875), Area: 64363.17 pixels^2
Frame 81, Class: erc_90, Conf: 0.55, Box: (0.7443466186523438, 419.4447021484375), (84.0301284790039, 479.607421875), Area: 5010.70 pixels^2
Frame 82, Class: erc_90, Conf: 0.98, Box: (179.238525390625, 55.2852783203125), (395.2789306640625, 353.49285888671875), Area: 64424.89 pixels^2
Frame 83, Class: erc_90, Conf: 0.98, Box: (178.3603515625, 58.31573486328125), (395.2998046875, 357.2193603515625), Area: 64843.99 pixels^2
Frame 84, Class: erc_90, Conf: 0.98, Box: (177.95394897460938, 61.42242431640625), (396.1152038574219, 359.635986328125), Area: 65058.64 pixels^2
Frame 85, Class: erc_90, Conf: 0.98, Box: (178.390380859375, 67.30450439453125), (394.8841552734375, 362.8031005859375), Area: 63973.61 pixels^2
Frame 86, Class: erc_90, Conf: 0.98, Box: (174.33612060546875, 68.82052612304688), (394.7762451171875, 367.6999816894531), Area: 65885.02 pixels^2
Frame 87, Class: erc_90, Conf: 0.98, Box: (170.67776489257812, 71.11968994140625), (394.9928894042969, 371.0836181640625), Area: 67286.45 pixels^2
Frame 88, Class: erc_90, Conf: 0.98, Box: (171.4853057861328, 75.1622314453125), (395.48748779296875, 375.91790771484375), Area: 67369.93 pixels^2
Frame 89, Class: erc_90, Conf: 0.97, Box: (175.90216064453125, 79.4090576171875), (394.90948486328125, 382.27777099609375), Area: 66330.47 pixels^2
Frame 90, Class: erc_90, Conf: 0.98, Box: (176.13031005859375, 87.51760864257812), (395.40924072265625, 383.85455322265625), Area: 64980.45 pixels^2
Frame 91, Class: erc_90, Conf: 0.98, Box: (179.18112182617188, 90.17794799804688), (395.1949157714844, 386.6303405761719), Area: 64037.80 pixels^2
Frame 92, Class: erc_90, Conf: 0.98, Box: (177.62037658691406, 95.71170043945312), (395.37451171875, 391.7920837402344), Area: 64472.73 pixels^2
Frame 93, Class: erc_90, Conf: 0.98, Box: (178.07545471191406, 99.5638427734375), (394.752197265625, 393.6937255859375), Area: 63731.11 pixels^2
Frame 94, Class: erc_90, Conf: 0.98, Box: (180.69615173339844, 98.8123779296875), (395.33349609375, 396.2673034667969), Area: 63844.93 pixels^2
Frame 95, Class: erc_90, Conf: 0.98, Box: (178.913818359375, 99.7042236328125), (394.6048583984375, 399.41796875), Area: 64645.57 pixels^2
Frame 96, Class: erc_90, Conf: 0.98, Box: (180.22268676757812, 101.43408203125), (394.1475524902344, 401.192138671875), Area: 64125.70 pixels^2
Frame 97, Class: erc_90, Conf: 0.98, Box: (178.95602416992188, 101.156494140625), (394.2117004394531, 401.15386962890625), Area: 64576.14 pixels^2
Frame 98, Class: erc_90, Conf: 0.99, Box: (179.65045166015625, 102.128662109375), (394.21875, 402.58233642578125), Area: 64467.83 pixels^2
Frame 99, Class: erc_90, Conf: 0.98, Box: (179.662109375, 101.21112060546875), (394.15289306640625, 402.5712890625), Area: 64638.98 pixels^2
Frame 100, Class: erc_90, Conf: 0.98, Box: (179.30810546875, 101.12673950195312), (393.90753173828125, 401.91986083984375), Area: 64550.03 pixels^2
Frame 101, Class: erc_90, Conf: 0.99, Box: (179.0870361328125, 102.93060302734375), (394.058349609375, 401.841064453125), Area: 64257.18 pixels^2
Frame 102, Class: erc_90, Conf: 0.98, Box: (178.7950439453125, 103.0770263671875), (394.0263671875, 402.46563720703125), Area: 64437.81 pixels^2
Frame 103, Class: erc_90, Conf: 0.98, Box: (178.586669921875, 102.09100341796875), (393.96575927734375, 401.922119140625), Area: 64577.35 pixels^2
